status,issues,unseen_pickup,unseen_delivery,unseen_lane,distance_outlier,ood_score,market_signals_present
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
SUCCESS,,False,False,False,False,0.0,False
